name;residuals-runtime;residuals-parsing;residuals-residuals
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata;1.66; 1.62961; 0.0469
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;0.09; 0.0902655; 0.0027
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata;1.67; 1.6531; 0.0470
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;0.1; 0.0974791; 0.0027
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata;1.69; 1.62007; 0.0485
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;0.09; 0.0943655; 0.0027
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata;1.7; 1.63216; 0.0499
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-rhs.mata;0.0; 0.0030938; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-lhs.mata;1.74; 1.65493; 0.0599
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-rhs.mata;0.03; 0.0282685; 0.0009
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata;1.71; 1.64879; 0.0540
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;0.0; 0.00115884; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata;1.73; 1.64336; 0.0484
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;0.0; 0.00156595; 0.0002
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata;1.84; 1.85278; 0.0621
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;0.83; 0.790025; 0.0273
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata;1.98; 1.93405; 0.0579
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;0.96; 0.932448; 0.0351
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata;1.88; 1.76732; 0.0635
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;0.0; 0.000506915; 0.0002
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-lhs.mata;1.83; 1.73501; 0.0598
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-rhs.mata;0.0; 0.00201153; 0.0002
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-lhs.mata;1.79; 1.74048; 0.0490
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-rhs.mata;0.0; 0.000513681; 0.0002
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-lhs.mata;2.11; 1.96256; 0.0812
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-rhs.mata;0.01; 0.0120442; 0.0004
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-lhs.mata;1.79; 1.75; 0.0504
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-rhs.mata;0.0; 0.00189756; 0.0002
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata;2.24; 2.19087; 0.0624
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;0.0; 0.00668666; 0.0008
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata;2.22; 2.17666; 0.0484
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;0.03; 0.0279916; 0.0009
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata;1.86; 1.88797; 0.0485
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;0.01; 0.00959808; 0.0004
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-lhs.mata;2.16; 2.12342; 0.0591
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-rhs.mata;0.09; 0.0855333; 0.0028
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-lhs.mata;1.84; 1.77254; 0.0496
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-rhs.mata;0.03; 0.0298586; 0.0012
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-lhs.mata;1.86; 1.76762; 0.0486
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-rhs.mata;0.09; 0.0922323; 0.0026
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-lhs.mata;1.56; 1.47978; 0.0464
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-rhs.mata;1.64; 1.59152; 0.0486
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-lhs.mata;1.89; 1.83417; 0.0437
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-rhs.mata;1.61; 1.58649; 0.0440
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata;2.06; 2.00698; 0.0610
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;2.04; 1.9915; 0.0478
